DMR_TRIP_IDENTIFIER,DMR_EFFORT_IDENTIFIER,REGION,STRATUM,COMMON_NAME,SAMPLE_LENGTH,FREQUENCY,SAMPLE_TYPE,SEX,MATURITY_TYPE,DMR_TRAWL_FISHID,DMR_SAMPLE_IDENTIFIER,AGE,SAMPLE_WEIGHT,GUT_FULLNESS
FL01,21,2,3,flounder winter,19,1,Bio,Female,I,G106,36,,85,
FL01,21,2,3,flounder winter,32,1,Bio,Female,T,G106,39,,435,
FL01,21,2,3,flounder winter,33,1,Bio,Female,T,G106,38,,430,
FL01,21,2,3,flounder winter,35,1,Bio,Female,T,G106,37,,530,
FL01,25,2,2,flounder winter,12,1,Bio,Male,I,G106,31,,20,
FL01,25,2,2,flounder winter,13,1,Bio,Female,I,G106,29,,27,
FL01,25,2,2,flounder winter,15,1,Bio,Female,I,G106,28,,87,
FL01,25,2,2,flounder winter,17,1,Bio,Male,I,G106,27,,60,
FL01,25,2,2,flounder winter,19,1,Bio,Male,I,G106,26,,87,
FL01,25,2,2,flounder winter,20,1,Bio,Female,T,G106,30,,110,
FL01,25,2,2,flounder winter,21,1,Bio,Female,T,G106,25,,111,
FL01,25,2,2,flounder winter,23,1,Bio,Male,T,G106,24,,126,
FL01,27,2,1,flounder winter,12,1,Bio,Female,I,G106,20,,42,
FL01,27,2,1,flounder winter,17,1,Bio,Female,I,G106,21,,118,
FL01,27,2,1,flounder winter,18,1,Bio,Male,T,G106,22,,143,
FL01,27,2,1,flounder winter,19,1,Bio,Male,T,G106,23,,201,
FL01,28,2,1,flounder winter,16,1,Bio,Female,I,G106,37,,50,
FL01,28,2,1,flounder winter,20,1,Bio,Female,I,G106,36,,90,
FL01,28,2,1,flounder winter,21,1,Bio,Female,T,G106,39,,90,
FL01,28,2,1,flounder winter,35,1,Bio,Female,T,G106,38,,600,
FL01,29,2,1,flounder winter,11,1,Bio,Male,I,G106,28,,17,
FL01,29,2,1,flounder winter,12,1,Bio,Male,I,G106,25,,24,
FL01,29,2,1,flounder winter,14,1,Bio,Male,T,G106,32,,36,
FL01,29,2,1,flounder winter,15,1,Bio,Male,T,G106,30,,48,
FL01,29,2,1,flounder winter,16,1,Bio,Male,T,G106,27,,48,
FL01,29,2,1,flounder winter,17,1,Bio,Female,I,G106,33,,65,
FL01,29,2,1,flounder winter,18,1,Bio,Female,I,G106,29,,73,
FL01,29,2,1,flounder winter,19,1,Bio,Female,T,G106,31,,82,
FL01,29,2,1,flounder winter,20,1,Bio,Male,T,G106,26,,86,
FL01,29,2,1,flounder winter,23,1,Bio,Female,T,G106,34,,140,
FL01,29,2,1,flounder winter,24,1,Bio,Male,T,G106,35,,173,
FL01,31,2,2,flounder winter,30,1,Bio,Male,T,G106,30,,348,
FL01,34,2,3,flounder winter,25,1,Bio,Male,T,G106,27,,402,
FL01,34,2,3,flounder winter,26,1,Bio,Female,T,G106,28,,488,
FL01,46,3,1,flounder winter,12,1,Bio,Male,I,G106,30,,21,
FL01,46,3,1,flounder winter,13,1,Bio,Female,I,G106,32,,23,
FL01,46,3,1,flounder winter,14,1,Bio,Female,I,G106,31,,30,
FL01,46,3,1,flounder winter,17,1,Bio,Female,I,G106,33,,52,
FL01,46,3,1,flounder winter,19,1,Bio,Female,D,G106,34,,89,
FL01,46,3,1,flounder winter,24,1,Bio,Female,T,G106,29,,159,
FL01,46,3,1,flounder winter,28,1,Bio,Female,D,G106,35,,306,
FL01,47,3,1,flounder winter,13,1,Bio,Female,I,G106,27,,26,
FL01,47,3,1,flounder winter,14,1,Bio,Female,I,G106,30,,28,
FL01,47,3,1,flounder winter,15,1,Bio,Male,T,G106,28,,43,
FL01,47,3,1,flounder winter,16,1,Bio,Male,T,G106,29,,49,
FL01,47,3,1,flounder winter,16,1,Bio,Female,I,G106,32,,50,
FL01,47,3,1,flounder winter,17,1,Bio,Female,I,G106,31,,62,
FL01,47,3,1,flounder winter,20,1,Bio,Female,T,G106,34,,87,
FL01,47,3,1,flounder winter,21,1,Bio,Female,D,G106,33,,110,
FL01,47,3,1,flounder winter,26,1,Bio,Female,D,G106,35,,246,
FL01,51,3,3,flounder winter,19,1,Bio,Male,T,G106,44,,87,
FL01,51,3,3,flounder winter,20,1,Bio,Female,I,G106,43,,89,
FL01,51,3,3,flounder winter,22,1,Bio,Female,T,G106,37,,120,
FL01,51,3,3,flounder winter,23,1,Bio,Female,T,G106,36,,128,
FL01,51,3,3,flounder winter,25,1,Bio,Male,T,G106,39,,181,
FL01,51,3,3,flounder winter,26,1,Bio,Female,T,G106,38,,212,
