DMR_TRIP_IDENTIFIER,EFFORT_START_DATE,EFFORT_START_TIME,DMR_EFFORT_IDENTIFIER,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,REGION,STRATUM,STATION_TYPE,START_DEPTH,LENGTH_TOW_TIME,EFFORT_SEQ_NO,TOW_LENGTH_NM,WATER_TEMP_C,SALINITY,END_DEPTH,SURFACE_TEMP_C,SURFACE_SALINITY,TOW_QUALITY,GEAR_CONDITION,EFFORT_END_DATE,EFFORT_END_TIME,WAVE_HEIGHT,WIND,WIND_DIRECTION,GRID_ID
FL00,10/30/00,10:29,1,43.0215,-70.5658,43.0298,-70.5561,1,2,R,33,00:17,-1184157,0.66,,,30,,,2,A,10/30/00,10:29,0,,,392
FL00,10/30/00,11:47,2,43.002,-70.5171,43.0107,-70.5034,1,3,R,46,00:20,-1184158,0.82,,,46,,,1,K,10/30/00,11:47,0,,,409
FL00,11/1/00,08:30,3,42.9354,-70.7462,42.9243,-70.7585,1,1,R,13,00:20,-1184159,0.89,,,14,,,1,K,11/1/00,08:30,0,,,472
FL00,11/1/00,10:47,4,42.9555,-70.6667,42.9433,-70.6796,1,2,R,23,00:20,-1184160,0.94,10.5,32.33,25,10.3,32.33,1,K,11/1/00,11:07,0,,,445
FL00,11/1/00,12:15,5,42.9528,-70.5948,42.9434,-70.6087,1,2,R,34,00:20,-1184161,0.83,10.8,32.4,35,10.4,32.33,1,K,11/1/00,12:15,0,,,464
FL00,11/1/00,14:30,6,42.9808,-70.6519,42.9968,-70.637,1,1,R,12,00:20,-1184162,1.16,10.2,32.37,14,10.9,32.4,1,K,11/1/00,14:50,0,,,417
FL00,11/2/00,08:18,7,43.0692,-70.4196,43.0567,-70.4342,1,3,R,49,00:20,-1184163,0.96,8.8,32.88,49,10.6,32.53,1,K,11/2/00,08:38,0,,,368
FL00,11/2/00,10:02,8,43.1421,-70.3947,43.1533,-70.3723,1,3,NA,46,00:20,-1184164,1.21,,,,,,1,K,11/2/00,10:22,0,,,305
FL00,11/3/00,09:05,9,43.2968,-70.4961,43.2861,-70.4964,1,1,R,19,00:14,-1184165,0.74,,,18,,,3,A,11/3/00,09:19,0,,,171
FL00,11/3/00,13:05,10,43.4209,-70.2942,43.4307,-70.2817,1,2,NA,34.5,00:20,-1184166,0.79,9.8,32.8,30.5,9.9,32.41,2,K,11/3/00,13:25,0,,,68
FL00,11/3/00,14:46,11,43.5055,-70.3494,43.5182,-70.3373,1,1,R,7,00:20,-1184167,0.94,9.5,32.51,8,10,32.37,1,K,11/3/00,15:06,0,,,11
FL00,11/4/00,07:37,12,43.512,-70.1943,43.5017,-70.2073,1,2,R,34.6,00:20,-1184168,0.85,10.4,32.85,33.5,10,32.62,1,K,11/4/00,07:57,0,,,27
